goos: linux
goarch: amd64
pkg: github.com/33TU/json-experiment
cpu: 13th Gen Intel(R) Core(TM) i9-13900H
BenchmarkMarshalMapInt/marshal_append-20         	 5708710	       206.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 5983492	       203.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 5937729	       200.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 5963698	       204.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 5548588	       202.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3377163	       389.1 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 2889754	       404.5 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3068985	       395.2 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 2891781	       386.0 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3095935	       403.0 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  738824	      1554 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  699579	      1432 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  915621	      1538 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  805442	      1599 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  893038	      1689 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2192457	       558.2 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2164155	       577.1 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 1958838	       581.6 ns/op	     260 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2440437	       492.4 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2784200	       471.2 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3827175	       330.8 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3869434	       372.2 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3687873	       365.7 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3404502	       350.9 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3569586	       372.6 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 2387545	       491.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 2317160	       503.7 ns/op	      40 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 2425030	       494.7 ns/op	      40 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 2430942	       511.2 ns/op	      40 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 2341315	       539.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 1707369	       742.0 ns/op	     200 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 1523560	       744.1 ns/op	     200 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 1908278	       628.8 ns/op	     200 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 1889302	       651.6 ns/op	     200 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 1831780	       671.2 ns/op	     200 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  966127	      1543 ns/op	     640 B/op	      14 allocs/op
