goos: linux
goarch: amd64
pkg: github.com/33TU/json-experiment
cpu: 13th Gen Intel(R) Core(TM) i9-13900H
BenchmarkMarshalMapInt/marshal_append-20         	 5702876	       207.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 5771766	       201.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 5822356	       201.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 5859999	       200.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 5871974	       206.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 2852085	       382.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3157846	       394.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3215019	       329.8 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3976011	       348.0 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 2945013	       366.5 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  844926	      1495 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	 1000000	      1415 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  761352	      1672 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  781245	      1733 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  827440	      1521 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2228103	       559.5 ns/op	     260 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 1966971	       577.8 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2366401	       476.6 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2727940	       474.1 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2492602	       516.2 ns/op	     260 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 2999986	       387.7 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3054950	       383.0 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 2926988	       416.1 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 2729377	       378.2 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3433354	       358.4 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 2415967	       496.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 2328822	       498.6 ns/op	      40 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 2381217	       502.6 ns/op	      40 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 2450163	       489.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 2446660	       506.4 ns/op	      40 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 1667408	       682.1 ns/op	     200 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 1830963	       674.6 ns/op	     200 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 1673862	       693.9 ns/op	     200 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 1712241	       759.7 ns/op	     200 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 1581813	       713.4 ns/op	     200 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  879049	      1341 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  708285	      1593 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  820417	      1444 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  921015	      1491 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  875875	      1494 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/sonic_json-20        	 2189049	       578.7 ns/op	     277 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/sonic_json-20        	 1990068	       534.1 ns/op	     278 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/sonic_json-20        	 2608162	       456.4 ns/op	     277 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/sonic_json-20        	 2548272	       480.5 ns/op	     276 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/sonic_json-20        	 2625082	       474.5 ns/op	     277 B/op	       3 allocs/op
BenchmarkMarshalMapIntSlice/sonic_encode_into-20 	 3286058	       364.4 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/sonic_encode_into-20 	 3223618	       373.1 ns/op	     113 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/sonic_encode_into-20 	 3362023	       379.5 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/sonic_encode_into-20 	 3012066	       382.7 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/sonic_encode_into-20 	 3514786	       344.3 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapAny/marshal_append-20         	 3659085	       327.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapAny/marshal_append-20         	 3655501	       329.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapAny/marshal_append-20         	 3637972	       328.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapAny/marshal_append-20         	 3571957	       337.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapAny/marshal_append-20         	 3603831	       338.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapAny/marshal-20                	 2154074	       544.9 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapAny/marshal-20                	 2304151	       524.7 ns/op	     160 B/op	       1 allocs/op
